x-axis,MATH
Hertz,dBV
+48.600E+03,-52.31250E+00
+48.700E+03,-53.40625E+00
+48.800E+03,-55.24219E+00
+48.900E+03,-57.07813E+00
+49.000E+03,-58.83594E+00
+49.100E+03,-60.47656E+00
+49.200E+03,-62.00000E+00
+49.300E+03,-62.62500E+00
+49.400E+03,-62.89844E+00
+49.500E+03,-62.85938E+00
+49.600E+03,-62.50781E+00
+49.700E+03,-61.84375E+00
+49.800E+03,-60.71094E+00
+49.900E+03,-59.50000E+00
+50.000E+03,-58.21094E+00
+50.100E+03,-56.92188E+00
+50.200E+03,-55.71094E+00
+50.300E+03,-55.00781E+00
+50.400E+03,-54.46094E+00
+50.500E+03,-54.03125E+00
+50.600E+03,-53.75781E+00
+50.700E+03,-53.56250E+00
+50.800E+03,-53.40625E+00
+50.900E+03,-53.36719E+00
+51.000E+03,-53.44531E+00
+51.100E+03,-53.64063E+00
+51.200E+03,-54.03125E+00
+51.300E+03,-54.53906E+00
+51.400E+03,-55.12500E+00
+51.500E+03,-55.78906E+00
+51.600E+03,-56.49219E+00
+51.700E+03,-57.27344E+00
+51.800E+03,-58.05469E+00
+51.900E+03,-58.79688E+00
+52.000E+03,-59.53906E+00
+52.100E+03,-60.24219E+00
+52.200E+03,-60.86719E+00
+52.300E+03,-61.33594E+00
+52.400E+03,-61.72656E+00
+52.500E+03,-62.00000E+00
+52.600E+03,-62.11719E+00
+52.700E+03,-61.96094E+00
+52.800E+03,-61.72656E+00
+52.900E+03,-61.41406E+00
+53.000E+03,-61.02344E+00
+53.100E+03,-60.63281E+00
+53.200E+03,-60.39844E+00
+53.300E+03,-60.20313E+00
+53.400E+03,-60.04688E+00
+53.500E+03,-59.96875E+00
+53.600E+03,-59.89063E+00
+53.700E+03,-59.85156E+00
+53.800E+03,-59.89063E+00
+53.900E+03,-60.04688E+00
+54.000E+03,-60.24219E+00
+54.100E+03,-60.55469E+00
+54.200E+03,-60.90625E+00
+54.300E+03,-61.45313E+00
+54.400E+03,-62.15625E+00
+54.500E+03,-63.13281E+00
+54.600E+03,-64.81250E+00
+54.700E+03,-67.03906E+00
+54.800E+03,-69.14844E+00
+54.900E+03,-71.06250E+00
+55.000E+03,-72.85938E+00
+55.100E+03,-73.64063E+00
+55.200E+03,-73.44531E+00
+55.300E+03,-72.82031E+00
+55.400E+03,-71.88281E+00
+55.500E+03,-70.51563E+00
+55.600E+03,-68.99219E+00
